ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/000/ERR1050080/ERR1050080_1.fastq.gz,HG00732
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/000/ERR1050080/ERR1050080_2.fastq.gz,HG00732
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/001/ERR1050081/ERR1050081_1.fastq.gz,HG00733
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/001/ERR1050081/ERR1050081_2.fastq.gz,HG00733
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/003/ERR1050073/ERR1050073_1.fastq.gz,NA19238
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/003/ERR1050073/ERR1050073_2.fastq.gz,NA19238
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/004/ERR1050074/ERR1050074_1.fastq.gz,NA19239
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/004/ERR1050074/ERR1050074_2.fastq.gz,NA19239
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/005/ERR1050075/ERR1050075_1.fastq.gz,NA19240
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/005/ERR1050075/ERR1050075_2.fastq.gz,NA19240
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1050076/ERR1050076_1.fastq.gz,HG00512
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1050076/ERR1050076_2.fastq.gz,HG00512
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/007/ERR1050077/ERR1050077_1.fastq.gz,HG00513
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/007/ERR1050077/ERR1050077_2.fastq.gz,HG00513
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/008/ERR1050078/ERR1050078_1.fastq.gz,HG00514
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/008/ERR1050078/ERR1050078_2.fastq.gz,HG00514
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/009/ERR1050079/ERR1050079_1.fastq.gz,HG00731
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/009/ERR1050079/ERR1050079_2.fastq.gz,HG00731
